http://www.nytimes.com/interactive/2016/us/elections/fact-check.html
		fact checks of the 2016 election 
		the new york times will be checking assertions made throughout the 2016 presidential campaign . 
669002099506573312	NatashaHowitt	fact checks of the u.s. 2016 election 
668966759869849601	JustMcGovern	facts are not an element for some candidates . 
668895263055024128	Brinkbaeumer	fact check : donald says he witnessed cheering of sept . 11 attacks 
668901120643866624	ATCodinha	well , this is fun , and horrible 
668885291898400769	alanp90210	fact checks of the election - the new york times 
668881523236610048	andrewglazer	the herald news took pains to discredit what paterson officials were calling “ hateful gossip . ” 
668077956963680256	AshtabulaCoDems	fact check : marco rubio says ted cruz undermined intelligence programs 
667398893865406473	Nabitalks	fact checks of the 2016 usa elections 
667343180132712448	Lovecraft2016	" it is not ... anything that can be seen or heard or handled , but .... something that is imagined " 
667090702564749312	nickconfessore	one fact-checker to rule them all : today launches the first column as our in-house " doubting thomas . " 
667035895808135168	corporatepigs29	caught in a ( gasp ) fib . he should never become a tv psychic 
669097650910797824	nytimes	fact check : donald trump saying he witnessed cheering on 9/11 in jersey city 

http://www.nytimes.com/2015/11/24/world/europe/extreme-weather-disasters-united-nations-paris.html
669107968315514880	shunderu	rt the u.n. is warning that the frequency and impact of weather-related disasters will rise 
668999574174855168	frankejames	extreme weather tied to over 600,000 deaths over 2 decades 
669074137650999296	EnnioDiNolfo	rt a u . n . -backed climate meeting starts next monday in paris . more than 120 national leaders are set to attend … 
669073046230007809	CynthiaMBird	rt un report : weather disasters injured 4.1 bn people in last 20 yrs , caused trillions in damage , and will keep rising https … 
669059213281337344	OvationsI	rt a u . n . -backed climate meeting starts next mon in paris . 120 national leaders are set to attend 
669030227255943172	natmoss	extreme tied to over 600,000 deaths over 2 decades 
669006500514373633	EwRmadrid	top story : retweets extreme weather tied to over 600,000 de … see more 
668997006443077632	DDiversions	rt weather-related disasters in the past two decades have killed more than 600,000 people 

http://www.nytimes.com/interactive/2015/11/20/us/why-it-takes-two-years-for-syrian-refugees-to-apply-to-enter-the-united-states.html
669044284218191874	1truegritter	why it takes two years for syrian refugees to enter the u.s. 
669045874861989888	moiskd	rt why it takes two years for syrian refugees to enter the u.s. 
669006298596397056	KenRoth	with mere 20-step us review process for syrian refugees , i can see why the demagogues worry . 
669089444977356800	Triosecurity	why in takes two years to screen refugees 
669082996834725888	FedericaAntea	it takes two years for syrian refugees to enter the u.s. and the house just voted to tighten screening procedures 
669070291847524353	franckelbers	why it takes two years for syrian refugees to enter the u.s. : new york times 
669007947280838656	sarabiany	the 20 step refugee resettlement process that has bigoted politicians and islamophobes so worried . 
669062811549433857	hutami12	rt here's why it takes two years for syrian refugees to enter the united states … 
669055722525593600	SaifWasiullah	rt 20 steps & security checks ( including proposed ) refugees must pass , before being admitted to u.s. ht … 
669042994679427074	wahcasawin	rt syrians already subject to additional checks than other refugees . here's the process : … 
669038348477071360	IOMKuwait	rt ever wanted to understand why it takes about 2 years for to enter the u.s. ? 
669037112734314496	MdsVivendi	rt good information on the current screening process in place for syrian refugees → 
668996051303571457	awhlexis	rt why syrian refugees must wait two years to enter the united states . 
669033640156905472	DivyGupta95	rt why it takes two years to screen syrian refugees trying to get into the us 
669027682131292162	EricLo	rt why it takes 2 years for a syrian refugee to apply to come to the us 
669023017645789185	tomwelbers	i wonder how many of those who oppose welcoming those fleeing from poverty , violence and death could pass this ?... 
669021726269947904	MariaHarding9	rt for everyone who seriously thinks it's easy to enter the u.s. as a syrian refugee - 
669017059523584000	Martie719	rt excellent , succinct info from why it takes 2 yrs to enter the us . … 
669015556486537216	alliance4syr	why does it take 2 years for a syrian refugee to get to the us ? 
669000003583475712	JUC_jalal	why it takes two years for to enter the us 

http://www.nytimes.com/interactive/2015/11/23/nytnow/23commenters.html
669078048185036800	twixmit	meet some of our top commenters 
669026315215896576	clwhiteacre	meet some of the top commenters 
669100871263887360	ap1pel	a good reason why comment sections shouldn't be shut . would b fun 2see a similar piece cc 
669097760960983040	anconl16	rt meet some of our top commenters on the website 
669093156475043840	NYTBen	this is great : meet some of our top commenters 
669090614034735104	JSto	clicked just to see if larry was on here dude who somehow comments on like every nyt article in poetry ! ) 
669087866727882752	JandCom	" influential contributors " : nice portraits by " meet some of our top commenters " 
669081835859795968	brittanyhite	ok , we need a meet the wsj commenters pronto . wait . no . that'd be scary . meet the nyt's top commenters : 
669079213564174336	jjfeds	nice move by to recognize top commenters !! 
669079026254921728	interconnecter	✍ rt nickkristof : meet some of our top commenters on the nytimes website 
669076746776535040	rtuomivaara	i've always enjoyed nyt comments section , very cool that now they introduce the people behind them 
669074604539801600	petrmisan	rt the ny times respects and touts people who post excellent comments . maybe this is why there are exc … 
669073619318763520	rosieryan	i love this . meet some of the top commenters 
669053605853425665	orskov	great idea , even better executed 
669065775588745216	LittleRed_23	love this > meet some of the top commenters : 
669064479523659776	jamesconnell	the best of the best , nyt commenters . great job profiling them . 
669063618323996672	uusivirt	" i really don't want to offend anyone " , yksi nyt : n kommentoijista sanoo . " i like to see the evolution of thought . " 
669059608493826048	mitoubab	yes , top commenters deserve to be engaged and rewarded . hats off to for this beautiful feature . 
669059196319612928	UmZain	one more reason why print has been replaced by digital . you get feedback on what you read : nyt's top commenters 
669041244790722561	_fmanto	rt meet the nyt's top commenters . this is an amazing group of humans : 
669030728831778817	yananw	charming & thoughtful commenters actually exist , profiled here 
669029041261944832	irene_tanya	the power of finding your voice and learning how to comment in a relevant , interesting way . 
669022139480219648	LizzeyRice	a glimpse into who the humans are behind those handles . " meet some of our top commenters " 
669016554403688448	ArifCRafiq	nyt profiles some of its top website commenters . one of the few sites whose comments section i find value in rding . 
669010304450318336	mediadissector	notice how many of the top commenters are writers 
668995975265042432	Revkin	meta enough for you ? 936 comments on piece on best commenters : 
669004577694482432	jbirkan	the 95 year old poet is amazing 
668999279881646080	jessemckinley	these people are awesome . 
669000617763835904	nbj914	" mr. carnicelli said he hopes to influence the political dialogue with his comments . " i can't even : 
668998787378094080	tiffehr	this is lovely . well done , and nyt community . 
668998277778563072	rebleber	raise your hand if you want to profile their least influential followers for part 2 
668992490473725952	amgh0	rt i love this : meet some of top commenters : 
668992097018580997	WPLyndaRobinson	rt love this feature -- instead of slamming/disregarding commenters , want you to meet some of them : … 

http://www.nytimes.com/2015/11/24/world/middleeast/kobani-syria-rebuild-isis.html
669074386159329280	GencerSultan	' town of kobani , scarred by isis , strives to rebuild ' : 
669106672816623616	seanmaynard	town of kobani , scarred by isil , strives to rebuild 
