http://www.cnn.com/2015/11/18/africa/nigeria-blasts/index.html
667194767017648132	PolicingWatch	nigeria . 
667202871268626433	trumpgasm	11-year-old female suicide bomber 
667207331109847040	0peyem1	rt at least 31 killed , 72 hurt in bomb blast in nigerian city of yola , local red cross official says . 
667205763320913921	reneadijab	children are not suicide bombers ; they are captives w/ bombs strapped to them . suicide bomber , age 11 , nigeria 
667205183009525760	NeeezyJ	my thoughts go out to the victims in nigeria . ----------- girl , 11 , was nigeria bomber 
667204505058983936	AngelBear2016	rt 11-year-old female suicide bomber … 
667203525286359044	chris63414391	rt 11-year-old female suicide bomber 
667203522245455873	STLLawyer	police : suicide bombers , one of them 11 , target nigeria market 
667197988247224320	midinstructor	children being used in suicide attacks . 
667198153536307200	AgsEliza	suicide bombers in nigeria market were 11 & 15yr old girls ! terrorists r not only men so much 4 vetting ' refugees ' 
667199234739986432	PatrickSims7	pray for nigeria ! 
667197858358128640	jennwilson	suicide bomber attacks kill and wound many in nigeria 
667197679831674880	midinstructor	children are being used as suicide bombers . 
667196342721228800	riorebel	rt why do they hate nigerians ? 
667195676799934465	DarthChipper	rt nigeria . 
667195228831395840	keshavawasty	rt police : girl , 11 , was suicide bomber in nigeria attack 
667189295401164800	nao73714	rt an 11-year-old girl just carried out a suicide bombing . but please , continue joking about children refugees . … 
667183726955139074	natejamesgarcia	there was another terrorist attack in 40+ dead . where is the in news coverage 
667181518981320704	CompelledOmar	anger and sadness just doesn't begin to cover it ... 

https://twitter.com/cnnbrk/status/666867676288020480/photo/1
666950451884130305	CraveForNews	explosions heard in paris suburb , site of raid hunting for suspects in paris attacks . 

http://www.cnn.com/2015/11/17/world/global-terror-report/index.html
667203057114095617	lakeluvr1	rt deaths from global terrorism increased by 80% in 2014 , according to a new report . … 
667177988975382528	Senate_RPC	“ a worldwide trend of increased terrorism - now at its highest level ever ” 
667093675030257664	Reince	global terrorism is on the rise , obama has no strategy to combat it : 
667076917359718406	Queen2Five	rt global terrorism increased by 80% in 2014 , says report 
667067532315086849	DanRiehl	deaths from global terrorism increased by 80% in 2014 with 32,658 people being killed , 
667067141959602176	DanRiehl	global terrorism increased by 80% in 2014 , says study 
667003128919756801	michaelcshort	boko haram and isis were responsible for more than half of all terrorism deaths in 2014 . 
667018043189501952	Martha_x15	so only australia& " eastasia " r terrorism free whos coming w/me ? 
666919079408635904	nitashasekand	over 32000 people killed from terrorism in 2014 . that's actually fucked up . 

http://www.cnn.com/2015/11/17/health/charlie-sheen-health/index.html
666733744473178113	patmendezcnn	says he is 
667190336259772416	ddagassi	rt charlie sheen to " today " : i've paid millions to people who extorted me over hiv diagnosis . … 
667058319022907392	TheRealReggieB2	rt charlie sheen is hiv positive , the actor tells “ today ” show . 
667039657536786432	CASWNY	" to eradicate hiv once and for all , we must first eradicate the stigma attached to it . stigma prevents people ... 
667024952588046337	cpohealth	is brave to admit that he is hiv-positive 
666992956478386176	jonathanryanlim	so charlie sheen's hiv positive ... go figure 
666959373684592641	AsiaAgainstAIDS	rt via cnn breaking news : charlie sheen is hiv positive , the actor tells “ today ” show . … 
666923851457167360	TheNewsGlobe	charlie sheen says he's hiv-positive - 
666793958127833089	Freelancepa4u	stay strong ♥ 
666778565225000962	RickWil93610048	hope this doesn't hurt his image . charlie sheen hiv-positive 
666777276176994304	AnnandKate	and this made the national news because ...? 
666773464787714052	luisfilgueira	he is awesome ! 
666746551621058560	armchairnomad	remix star , banger of 7 gram rocks , says he has hiv . 
666736028460449792	mayuwaomiyi	now you don't have to pay anyone to keep your secret . charlie sheen hiv-positive 
666722095724937216	PickensPoints	lesson from teens still need to ask about their bf/gf's sexual history or just stop having sex . :) 

http://www.cnn.com/2015/11/17/politics/bobby-jindal-announces-he-is-ending-presidential-campaign/index.html
666870546563403776	patilshri6	bobby jindal announces he is ending presidential campaign 
667124176809951232	toutmoun	rt jindal : ' i've come to the realization that this is not my time . ' 
666836509530546176	ramosclass	. is ending his campaign for president . " i've come to the realization that this is not my time . " 
666996800197402624	MPTrending	jindal ends presidential campaign 
666995875420495872	blackpolbuzz378	louisiana gov bobby jindal bows out of 2016 race 
666992834109702144	jalefkowit	if a tree falls in the forest , and nobody is there to vote for it , does it make a sound 
666967879833821185	denny_deluxe	* the price is right sad horns * 
666963765129252867	Elmiregaf	alfred e . newman is out of the race ... we're running out of clowns . 
666864751444520960	meaghanmccorm	" i've come to the realization that this is not my time . " it never was it never was . 
666864792775225344	ronniebrooks09	rt queue queen ; another one bites the dust 
666858981709729793	ronbarry21	jindal releases his supporters - both of them - to vote for someone else ... ending presidential campaign 
666846786489839616	WalkerCo2015	and another one off the bus ! 
666845531558146049	cafegroundzero	rt another one bites the dust jindal announces he is ending his presidential campaign , realizes " it's just not my time " h … 
666833607449837568	user95815	bobby announces he is ending presidential campaign 
666824668989493248	Judy5cents	looked awkward talking to his own family in his own back yard . he never had a hope in hell . 
666820893067362304	stoicatheist	👍🏽now he can go back to understudying for bob denver in that very special episode of gilligan's island : 
666819696570843136	BikramSingh	oh no piyush , we're going to miss you .... not !!!!!! 
666813956263190528	xentrc526	jindal drops out of presidential race good riddance 
666813090659475456	musingsman	now waiting for to also announce the same 
666805170848849924	annauthor_p	he says , " it's over ! " 

http://www.cnn.com/2015/11/17/entertainment/paul-walker-death-lawsuit/index.html
666653956542758912	Odeleyeoluseun	paul walker death : actor's fatal accident his own fault , porsche says 
667109847930830848	chrjuden	rt porsche blames actor paul walker for his own death in one of its sports cars . 
667094866053234688	fuck26_quotes	porsche : paul walker's accident his fault 
667050495446503424	MichaelZbierski	paul walker death : actor's fatal accident his own fault , engineers say . car was " abused and altered " 
667009856411340800	Travesham	paul walker hit a pole at 93 mph , and his daughter is suing porsche saying he only died because of a design flaw . 
666994267722801152	GrobHahn	paul walker death his own fault , porsche says they said the same about james dean 
666961481276203010	Yannickovic	paul walker's death ' his own fault ' 
666783407527989248	NewsSourceLA	paul walker death : actor's fatal accident in is his own fault , says . 
666748657144721408	DrBobbyS	how can blame the passenger , for the crash ? bad move ! 
666704225716453376	KBLawyers	death : actor's fatal his own fault , says 
666651726263357440	jgaleforce	boycott porsche !!! rt porsche blames actor paul walker for his own death . 
666642651999895552	gildlgarza	paul walker death : porsche blames him 

http://www.cnn.com/2015/11/17/us/minneapolis-jamar-clark-police-shooting/index.html
667185459206987777	KarenNEliot	another incident of police brutality stirs the black lives matter protestors , this time in minneapolis , mn . 
667171389741363200	Chknnugget_p0rn	rt protesters shut down minneapolis interstate in response to fatal police shooting . 
667007349958115329	CollinRockett	jamar clark shooting : police find videos incomplete - 
666884796098854912	yilinzzzz	although it is under the constitution that people has the right to protest , they are doing it wrong . 
666826363899285505	JerryBriant	shooting : videos don't show complete incident , police say 
666826511966707712	SheilaJ13169593	jamar clark shooting : videos don't show complete incident , police say 
666813391844073472	xentrc526	shooting protests shut down i-94 
666769238191812608	lovelylucy79	shooting protests shut down minneapolis interstate 
666722800208490496	linklewis	jamar clark shooting : demonstrators shut down minneapolis interstate 
666724326679310336	WileyWrites	sadly , lawless & mob rule follow shooting of another criminal : demonstrators shut down minneapolis interstate 
666687004952928257	jaywritty	jamar clark shooting : minneapolis protest blocks interstate - 
666681652098281473	mikekirbyone	minnesota : demonstrators shut down minneapolis interstate over shooting of black thug . 
666674861255725057	ErikZeusDenver	shut down i-95 minneapolis interstate monday a day after the police shooting of jamar clark 
666642913414275073	kencampbell66	soros shuts down minneapolis interstate via 
666641474482753536	miralowe	shooting : demonstrators shut down interstate 
666659486942101504	us4irf0rce	seems like shutting down roads is the right thing to do ... 
666645404730068992	sandiburkwarner	we seem to have many employees that are worthless as no one can do anything ? yes we can . protest back . don't work . 
