http://www.nbcnews.com/feature/season-of-kindness/what-one-7-year-old-boy-does-show-his-gratitude-n463121

http://www.nbcnews.com/storyline/paris-terror-attacks/explosive-belt-found-paris-suburb-n468311

http://www.nbcnews.com/news/asian-america/forty-years-after-resettlement-thousands-southeast-asian-refugees-face-deportation-n466376
668794207838953473	ImmiLaw	forty years after resettlement , thousands of southeast asian refugees face ... - 
668916153608224769	qdbui	incredible 
668933293002383360	dnkboston	rt 13,000 cambodian , vietnamese , and laotian americans have been served deportation orders in past 20 yrs … 
668932093603422208	JamesGreiff	of 2 mln immig deported by obama , 47% were booted cuz of traffic violations . via 
668928253667618817	prof_erikalee	13,000 cambodian , vietnamese , and laotian americans have been served deportation orders in past 20 yrs via 
668928114412523521	prof_erikalee	' how many times can you be displaced ? ' 40 yrs after resettlement , thousands of se asian refugees face deportation 
668920977070399488	MKBag5	40 years after resettlement , refugees fear deportation 
668919338414571520	jade_magazine	retweeted advancingjustice|chi ( forty years after resettlement , thousands of southeast asian ... 
668918245059985408	Leroy_Lynch	forty years after resettlement in america , thousands of southeast asian refugees face deportation 
668798959339618304	traciglee	over the past two decades , more than 13,000 southeast asian refugees in the u.s. have been served deportation orders 
668830506067316736	Juliet_Shen	after 40 years of resettlement , southeast asian refugees are being deported : 
668896923273838592	DiverseElders	40 years after resettlement , thousands of face deportation via 
668891860102995968	naaap	rt my first for 40 yrs after resettlement , thousands of sea refugees face deportation … 
668869972823789568	MekongNYC	40yrs after resettlement , thousands of sea refugees face deportation via 
668850191185764352	OCANational	more than 13,000 southeast asians have been served deportation orders — 
668853349375221760	justcalma	my first for 40 yrs after resettlement , thousands of sea refugees face deportation via 
668811375309885440	PickensGAWatchr	obama's makes room for more isis 40 years after resettlement , thousands of southeast asian refugees face deportation 
